fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
02013,US,AK,Aleutians East Borough,county,,iso1:us#iso2:us-ak#fips:02013,,3337,,other,0.0,,1.0,1.17,,,,0,4,0,4,1,4,4,366,3,,,,,,,,,,,,0,,2372,2228,2021-07-15,https://covidactnow.org/us/alaska-ak/county/aleutians_east_borough,0.711,0.668,0,
02016,US,AK,Aleutians West Census Area,county,,iso1:us#iso2:us-ak#fips:02016,,5634,,other,7.6,,0.95,1.2,,,,1,4,1,4,1,4,4,733,0,,,,0,,,,0,,,,2,,3521,2923,2021-07-15,https://covidactnow.org/us/alaska-ak/county/aleutians_west_census_area,0.625,0.519,0,
02020,US,AK,Anchorage Municipality,county,,iso1:us#iso2:us-ak#fips:02020,,288000,0.032,other,14.5,,1.33,0.29,,,0.92,2,1,2,4,2,4,3,31464,179,,,,1149,474,14,0.66,47,44,3,0.71,131,,145390,129683,2021-07-15,https://covidactnow.org/us/alaska-ak/county/anchorage_municipality,0.505,0.45,0,
02050,US,AK,Bethel Census Area,county,,iso1:us#iso2:us-ak#fips:02050,,18386,0.014,other,7.8,,1.36,1.04,,,,2,0,1,4,2,4,4,3930,22,,,,37,,,0.4,0,,,,1,,10017,9226,2021-07-15,https://covidactnow.org/us/alaska-ak/county/bethel_census_area,0.545,0.502,0,
02060,US,AK,Bristol Bay Borough,county,,iso1:us#iso2:us-ak#fips:02060,,836,,other,273.4,,1.37,1.1,,,,5,4,5,4,2,4,4,650,3,,,,,,,,,,,,5,,805,712,2021-07-15,https://covidactnow.org/us/alaska-ak/county/bristol_bay_borough,0.964,0.852,0,
02068,US,AK,Denali Borough,county,,iso1:us#iso2:us-ak#fips:02068,,2097,,other,6.8,,,,,,,1,4,1,4,4,4,4,112,0,,,,,,,,,,,,0,,1055,940,2021-07-15,https://covidactnow.org/us/alaska-ak/county/denali_borough,0.503,0.448,0,
02070,US,AK,Dillingham Census Area,county,,iso1:us#iso2:us-ak#fips:02070,,4916,,other,0.0,,,,,,,0,4,0,4,4,4,4,233,2,,,,18,,,0.15,0,,,,0,,2257,1906,2021-07-15,https://covidactnow.org/us/alaska-ak/county/dillingham_census_area,0.459,0.388,0,
02090,US,AK,Fairbanks North Star Borough,county,,iso1:us#iso2:us-ak#fips:02090,,96849,0.03,other,1.9,,1.02,1.01,,,0.63,1,0,1,4,1,4,0,8022,44,,,,175,44,1,0.46,13,8,0,0.66,2,,38772,36212,2021-07-15,https://covidactnow.org/us/alaska-ak/county/fairbanks_north_star_borough,0.4,0.374,0,
02100,US,AK,Haines Borough,county,,iso1:us#iso2:us-ak#fips:02100,,2530,,other,0.0,,,,,,,0,4,0,4,4,4,4,28,0,,,,,,,,,,,,0,,1520,1457,2021-07-15,https://covidactnow.org/us/alaska-ak/county/haines_borough,0.601,0.576,0,
02105,US,AK,Hoonah-Angoon Census Area,county,,iso1:us#iso2:us-ak#fips:02105,,2148,,other,0.0,,,,,,,0,4,0,4,4,4,4,0,0,,,,,,,,,,,,0,,1476,1305,2021-07-15,https://covidactnow.org/us/alaska-ak/county/hoonah_angoon_census_area,0.687,0.608,0,
02110,US,AK,Juneau City and Borough,county,,iso1:us#iso2:us-ak#fips:02110,,31974,0.017,other,3.1,,1.21,1.03,,,0.33,2,0,1,4,2,4,0,1487,3,,,,73,39,1,0.41,9,3,1,0.32,3,,21131,20019,2021-07-15,https://covidactnow.org/us/alaska-ak/county/juneau_city_and_borough,0.661,0.626,0,
02122,US,AK,Kenai Peninsula Borough,county,,iso1:us#iso2:us-ak#fips:02122,,58708,0.032,other,13.6,,1.49,0.73,,,0.56,3,1,2,4,3,4,0,4632,19,,,,77,49,0,0.56,11,6,0,0.69,22,,22973,21593,2021-07-15,https://covidactnow.org/us/alaska-ak/county/kenai_peninsula_borough,0.391,0.368,0,
02130,US,AK,Ketchikan Gateway Borough,county,,iso1:us#iso2:us-ak#fips:02130,,13901,,other,9.2,,1.26,1.16,,,0.21,2,4,1,4,2,4,0,668,1,,,,25,6,1,0.42,6,1,0,0.31,5,,7691,7177,2021-07-15,https://covidactnow.org/us/alaska-ak/county/ketchikan_gateway_borough,0.553,0.516,0,
02150,US,AK,Kodiak Island Borough,county,,iso1:us#iso2:us-ak#fips:02150,,12998,0.025,other,2.2,,1.0,1.17,,,0.36,1,0,1,4,1,4,0,1126,6,,,,25,7,0,0.22,2,0,1,,0,,6963,6541,2021-07-15,https://covidactnow.org/us/alaska-ak/county/kodiak_island_borough,0.536,0.503,0,
02158,US,AK,Kusilvak Census Area,county,,iso1:us#iso2:us-ak#fips:02158,,8314,0.038,other,37.8,,0.78,0.79,,,,3,1,3,4,0,4,4,1445,4,,,,,,,,,,,,11,,4630,4193,2021-07-15,https://covidactnow.org/us/alaska-ak/county/kusilvak_census_area,0.557,0.504,0,
